#    L    TT             EE             BB             TE          
     2   0.102671E+04   0.321609E-01   0.168789E-05   0.266914E+01
     3   0.971079E+03   0.419532E-01   0.337627E-05   0.301493E+01
     4   0.917899E+03   0.370286E-01   0.562818E-05   0.284396E+01
     5   0.878221E+03   0.251826E-01   0.844425E-05   0.243443E+01
     6   0.851098E+03   0.142929E-01   0.118253E-04   0.196935E+01
     7   0.833828E+03   0.771237E-02   0.157721E-04   0.155107E+01
     8   0.823420E+03   0.487695E-02   0.202859E-04   0.122590E+01
     9   0.818465E+03   0.387103E-02   0.253678E-04   0.100137E+01
    10   0.817499E+03   0.331811E-02   0.310191E-04   0.871078E+00
    11   0.819128E+03   0.280585E-02   0.372412E-04   0.818344E+00
    12   0.823952E+03   0.255703E-02   0.440355E-04   0.824076E+00
    13   0.830327E+03   0.231162E-02   0.514038E-04   0.864159E+00
    14   0.837359E+03   0.234646E-02   0.593475E-04   0.915598E+00
    15   0.845444E+03   0.256085E-02   0.678686E-04   0.972342E+00
    16   0.855091E+03   0.278291E-02   0.769686E-04   0.103313E+01
    17   0.866291E+03   0.315353E-02   0.866495E-04   0.109573E+01
    18   0.878149E+03   0.367593E-02   0.969130E-04   0.115962E+01
    19   0.891504E+03   0.433812E-02   0.107761E-03   0.122528E+01
    20   0.904685E+03   0.517177E-02   0.119195E-03   0.129110E+01
    21   0.918060E+03   0.613128E-02   0.131217E-03   0.136036E+01
    22   0.931928E+03   0.723765E-02   0.143830E-03   0.143495E+01
    23   0.946120E+03   0.849610E-02   0.157033E-03   0.151112E+01
    24   0.960709E+03   0.987907E-02   0.170830E-03   0.158423E+01
    25   0.975650E+03   0.114148E-01   0.185221E-03   0.165160E+01
    26   0.990766E+03   0.131024E-01   0.200209E-03   0.171264E+01
    27   0.100630E+04   0.149321E-01   0.215795E-03   0.176582E+01
    28   0.102210E+04   0.169218E-01   0.231979E-03   0.181080E+01
    29   0.103822E+04   0.190928E-01   0.248764E-03   0.184785E+01
    30   0.105455E+04   0.214727E-01   0.266150E-03   0.187653E+01
    31   0.107097E+04   0.240704E-01   0.284138E-03   0.189936E+01
    32   0.108772E+04   0.268772E-01   0.302729E-03   0.191830E+01
    33   0.110481E+04   0.298805E-01   0.321923E-03   0.193018E+01
    34   0.112209E+04   0.330838E-01   0.341723E-03   0.193223E+01
    35   0.113951E+04   0.365103E-01   0.362126E-03   0.192550E+01
    36   0.115698E+04   0.401896E-01   0.383135E-03   0.191050E+01
    37   0.117455E+04   0.441247E-01   0.404749E-03   0.188571E+01
    38   0.119252E+04   0.483160E-01   0.426969E-03   0.185120E+01
    39   0.121087E+04   0.527515E-01   0.449793E-03   0.180672E+01
    40   0.122935E+04   0.574218E-01   0.473222E-03   0.175168E+01
    41   0.124805E+04   0.623268E-01   0.497256E-03   0.168534E+01
    42   0.126675E+04   0.674835E-01   0.521894E-03   0.160698E+01
    43   0.128560E+04   0.729131E-01   0.547136E-03   0.151594E+01
    44   0.130443E+04   0.786219E-01   0.572981E-03   0.141241E+01
    45   0.132361E+04   0.846265E-01   0.599427E-03   0.129670E+01
    46   0.134307E+04   0.909412E-01   0.626475E-03   0.116721E+01
    47   0.136267E+04   0.975573E-01   0.654124E-03   0.102469E+01
    48   0.138234E+04   0.104467E+00   0.682372E-03   0.873143E+00
    49   0.140216E+04   0.111641E+00   0.711219E-03   0.715974E+00
    50   0.142236E+04   0.119042E+00   0.740664E-03   0.549808E+00
    51   0.144273E+04   0.126632E+00   0.770705E-03   0.369900E+00
    52   0.146348E+04   0.134501E+00   0.801342E-03   0.171669E+00
    53   0.148424E+04   0.142805E+00   0.832574E-03  -0.475772E-01
    54   0.150492E+04   0.151542E+00   0.864399E-03  -0.282560E+00
    55   0.152574E+04   0.160698E+00   0.896818E-03  -0.527888E+00
    56   0.154691E+04   0.170135E+00   0.929828E-03  -0.784509E+00
    57   0.156837E+04   0.179741E+00   0.963429E-03  -0.105244E+01
    58   0.159012E+04   0.189520E+00   0.997621E-03  -0.133268E+01
    59   0.161203E+04   0.199505E+00   0.103240E-02  -0.162627E+01
    60   0.163411E+04   0.209744E+00   0.106777E-02  -0.193280E+01
    61   0.165665E+04   0.220326E+00   0.110373E-02  -0.225167E+01
    62   0.167908E+04   0.231240E+00   0.114028E-02  -0.258383E+01
    63   0.170161E+04   0.242447E+00   0.117742E-02  -0.293027E+01
    64   0.172455E+04   0.253963E+00   0.121514E-02  -0.329217E+01
    65   0.174751E+04   0.265766E+00   0.125346E-02  -0.367013E+01
    66   0.177081E+04   0.277789E+00   0.129236E-02  -0.406230E+01
    67   0.179426E+04   0.290035E+00   0.133185E-02  -0.446605E+01
    68   0.181814E+04   0.302542E+00   0.137193E-02  -0.487982E+01
    69   0.184220E+04   0.315269E+00   0.141260E-02  -0.530201E+01
    70   0.186656E+04   0.328257E+00   0.145386E-02  -0.573443E+01
